timeStamp_s,u_raw_V,u_prbs_V,u_noisy_V,voltage_V,theta_rad,alpha_rad,theta_dot_rad_s,alpha_dot_rad_s
0.0,-788.4122073893024,0.5,-787.9122073893024,0.0,0.0,0.0,0.0,0.0
0.005776643753051758,-513.7113457594108,0.5,-513.2113457594108,0.0,0.0,0.0,0.0,0.0
0.009204864501953125,-348.89082878147593,0.5,-348.39082878147593,0.0,0.0,0.0,0.0,0.0
0.014212369918823242,-249.998518594715,0.5,-249.498518594715,0.0,0.0,0.0,0.0,0.0
0.01923346519470215,-190.66313248265845,0.5,-190.16313248265845,0.0,0.0,0.0,0.0,0.0
0.024199485778808594,-155.06190081542448,0.5,-154.56190081542448,0.0,0.0,0.0,0.0,0.0
0.029199838638305664,-133.7011618150841,0.5,-133.2011618150841,0.0,0.0,0.0,0.0,0.0
0.03419947624206543,-120.8847184148799,0.5,-120.3847184148799,0.0,0.0,0.0,0.0,0.0
0.039197444915771484,-113.19485237475736,0.5,-112.69485237475736,0.0,0.0,0.0,0.0,0.0
0.04417729377746582,-108.58093275068384,0.5,-108.08093275068384,0.0,0.0,0.0,0.0,0.0
0.04920792579650879,-105.81258097623973,0.5,-105.31258097623973,0.0,0.0,0.0,0.0,0.0
0.054180145263671875,-104.15156991157326,0.5,-103.65156991157326,0.0,0.0,0.0,0.0,0.0
0.059180259704589844,-103.15496327277339,0.5,-102.65496327277339,0.0,0.0,0.0,0.0,0.0
0.064208984375,-102.55699928949345,0.5,-102.05699928949345,0.0,0.0,0.0,0.0,0.0
0.06946802139282227,-102.1982208995255,0.5,-101.6982208995255,0.0,0.0,0.0,0.0,0.0
0.0750265121459961,-101.98295386554472,0.5,-101.48295386554472,0.0,0.0,0.0,0.0,0.0
0.08075857162475586,-101.85379364515626,0.5,-101.35379364515626,0.0,0.0,0.0,0.0,0.0
0.08641242980957031,-101.77629751292318,0.5,-101.27629751292318,0.0,0.0,0.0,0.0,0.0
0.08956360816955566,-101.72979983358333,0.5,-101.22979983358333,0.0,0.0,0.0,0.0,0.0
0.09438323974609375,-101.70190122597943,0.5,-101.20190122597943,0.0,0.0,0.0,0.0,0.0
0.10150361061096191,-101.68516206141707,-0.5,-102.18516206141707,0.0,0.0,0.0,0.0,0.0
0.10583686828613281,-101.67511856267967,-0.5,-102.17511856267967,0.0,0.0,0.0,0.0,0.0
0.11117148399353027,-101.66909246343722,-0.5,-102.16909246343722,0.0,0.0,0.0,0.0,0.0
0.11444568634033203,-101.66547680389176,-0.5,-102.16547680389176,0.0,0.0,0.0,0.0,0.0
0.11920881271362305,-101.66330740816448,-0.5,-102.16330740816448,0.0,0.0,0.0,0.0,0.0
0.12431883811950684,-101.66200577072811,-0.5,-102.16200577072811,0.0,0.0,0.0,0.0,0.0
0.12920308113098145,-101.6612247882663,-0.5,-102.1612247882663,0.0,0.0,0.0,0.0,0.0
