Time,u_noisy,theta,alpha
0.0,0.0,-0.0,-3.141592653589793
0.01917243003845215,0.0,-0.0,-3.141592653589793
0.039107322692871094,0.0,-0.0,3.1385246920140215
0.05908012390136719,0.0,-0.0,3.1385246920140215
0.07949399948120117,0.0,-0.0,3.1385246920140215
0.09909439086914062,0.0,-0.0,3.1385246920140215
0.12111353874206543,0.0,-0.0,3.1385246920140215
0.13923120498657227,0.0,-0.0,3.1385246920140215
0.15909242630004883,0.0,-0.0,-3.141592653589793
0.17915773391723633,0.0,-0.0,-3.141592653589793
0.1990814208984375,0.0,-0.0,-3.141592653589793
0.22011828422546387,0.0,-0.0,-3.138524692014022
0.2390899658203125,0.0,-0.0,-3.138524692014022
0.2619955539703369,0.0,-0.0,-3.138524692014022
0.27909278869628906,0.0,0.0030679615757712823,-3.1354567304382504
0.299166202545166,0.0,0.0030679615757712823,-3.1354567304382504
0.319077730178833,0.0,0.0030679615757712823,-3.1354567304382504
0.34304189682006836,0.0,0.0030679615757712823,-3.1354567304382504
0.3590812683105469,0.0,0.0030679615757712823,-3.1354567304382504
0.37914490699768066,0.0,0.0030679615757712823,-3.1354567304382504
0.39911890029907227,0.0,0.0030679615757712823,-3.1354567304382504
0.4190852642059326,0.0,0.0030679615757712823,-3.1354567304382504
0.43909573554992676,0.0,0.0030679615757712823,-3.1354567304382504
0.4591226577758789,0.0,0.0030679615757712823,-3.1354567304382504
0.4790816307067871,0.0,0.0030679615757712823,-3.1354567304382504
0.4991874694824219,0.0,0.0030679615757712823,-3.1354567304382504
0.5190856456756592,0.0,0.0030679615757712823,-3.1354567304382504
0.5391478538513184,0.0,0.0030679615757712823,-3.138524692014022
0.5590832233428955,0.0,0.0030679615757712823,-3.138524692014022
0.5790908336639404,0.0,0.0030679615757712823,-3.138524692014022
0.5990753173828125,0.0,-0.0,-3.138524692014022
0.6190800666809082,0.0,-0.0,-3.141592653589793
0.6391010284423828,0.0,-0.0,-3.141592653589793
0.6590979099273682,0.0,-0.0,-3.141592653589793
0.6790802478790283,0.0,-0.0,-3.141592653589793
0.6990854740142822,0.0,-0.0,-3.141592653589793
0.7191457748413086,0.0,-0.0,-3.141592653589793
0.7391018867492676,0.0,-0.0,-3.141592653589793
0.7590835094451904,0.0,-0.0,-3.141592653589793
0.779102087020874,0.0,-0.0,-3.141592653589793
0.7990832328796387,0.0,-0.0,-3.141592653589793
0.8190879821777344,0.0,0.0030679615757712823,3.1201169225593937
0.8391351699829102,0.0,0.009203884727313847,3.0679615757712817
0.8591306209564209,0.0,0.01227184630308513,3.012738267407399
0.8791189193725586,0.0,0.01227184630308513,2.960582920619288
0.8990898132324219,0.0,0.021475731030398976,2.908427573831176
0.9191200733184814,0.0,0.039883500485026674,2.8532042654672924
0.9390993118286133,0.0,0.05522330836388308,2.7918450339518674
0.959181547164917,0.0,0.07669903939428206,2.693670263527186
0.9790835380554199,0.0,0.1043106935762236,2.5586799541932495
1.0027515888214111,0.0,0.1227184630308513,2.4114177985562275
1.0190834999084473,0.0,0.12885438618239387,2.2641556429192065
1.0415124893188477,0.0,0.13192234775816514,2.1076896025548706
1.059088945388794,0.0,0.12885438618239387,1.9450876390389933
1.0791447162628174,0.0,0.11965050145508001,1.7763497523715728
1.0990850925445557,0.0,0.10737865515199488,1.6137477888556946
1.1190905570983887,0.0,0.09203884727313846,1.454213786915588
1.1392590999603271,0.0,0.08283496254582462,1.2916118233997098
1.1590900421142578,0.0,0.07363107781851078,1.1320778214596032
