iter,y0,y1,u0
0,0.0,0.5,0.0
1,0.015057089299530273,0.5263888011757576,-50.194522424999995
2,-0.43982520830045535,0.11064823370976773,9.305338127190685
3,-1.2965558262429804,-0.6987081490676699,35.299576923196966
4,-1.7494177856617785,-1.1393780239174915,27.696652545148318
5,-1.641252589074718,-1.0756237660495338,12.064826723234829
6,-1.200538103269187,-0.7312039266195055,1.1011248631815511
7,-0.6723827089436526,-0.3335217832339357,-4.025452287884494
8,-0.19365070100015694,-0.00014949392105564202,-5.707629091339835
9,0.18770359992194002,0.23660510741521426,-5.899476002084043
10,0.4672317545294322,0.3831722481890054,-5.507433599793729
11,0.655783098587254,0.4570287677571667,-4.855096906208412
12,0.7682618940007577,0.4763442679431501,-4.077916085951947
13,0.8201333422660155,0.4573468311255508,-3.2697058307699183
14,0.8261096673788443,0.4137627153631256,-2.5027784601746497
15,0.7993167622976235,0.3566182420946111,-1.8225370859059034
16,0.7507822081748825,0.2942368655404586,-1.2489648102748552
17,0.6892835713093202,0.2324698881431803,-0.7842348977010296
18,0.6214798604877502,0.17509487905549811,-0.4205052609303974
19,0.5521961335103389,0.12427105635670041,-0.14532629884338155
20,0.484756709592027,0.08096877001952528,0.05522458554842228
21,0.42130747593885265,0.04533371340796693,0.19484800819763498
22,0.36310096254520313,0.016976425980628988,0.28612696100502316
23,0.310735739417948,-0.004808032524729302,0.34008946609925833
24,0.26435005477550955,-0.020880255905250594,0.3660577443655461
25,0.22377347162368139,-0.03214546527069302,0.37167997316308504
26,0.18864200826321786,-0.03948073545822412,0.36306961212128575
27,0.15848288299955843,-0.04369108874070923,0.3449975908307557
28,0.13277482673010718,-0.04548652815943155,0.3211005954556207
29,0.11098935387573294,-0.045473610565723216,0.29408316950955876
30,0.0926176043850431,-0.04415659700467497,0.2659016047920983
31,0.0771865479658893,-0.04194447183143011,0.23792422430592874
32,0.06426756954426542,-0.03916115681871282,0.21106669868646166
33,0.053479776465467595,-0.036057065990607234,0.18590338713357424
34,0.04448979761252052,-0.032820774172739174,0.16275695925223213
35,0.037009380747741794,-0.029590037673429062,0.1417691234347754
36,0.03079172726630167,-0.02646174006313428,0.12295541692075634
37,0.025627219999333425,-0.023500568106044843,0.1062468788273283
38,0.021338985679955843,-0.02074637707591517,0.09152115155110477
39,0.01777857579363868,-0.018220301309005253,0.07862521849360754
40,0.014821935814371238,-0.015929721201823968,0.06739163756805873
41,0.012365753082032308,-0.01387222460326897,0.057649799859580575
42,0.010324219405127052,-0.012038708237487343,0.049233446492167106
43,0.008626209148372442,-0.010415760452693549,0.041985420520084644
44,0.007212851822018735,-0.008987455246449774,0.03576041527420237
45,0.006035465996527464,-0.007736672650940789,0.030426303620873434
46,0.0050538156946137655,-0.006646044495465626,0.02586448994904375
47,0.004234649034875884,-0.0056986087721483634,0.02196961365468004
48,0.003550480212197534,-0.004878241183923502,0.018648844667687556
49,0.00297857876998781,-0.004169919401265047,0.015820943706749302
50,0.0025001337740762296,-0.0035598642660252507,0.013415208486994002
51,0.002099564424954381,-0.003035592648835936,0.011370388637449571
52,0.001763952519363501,-0.0025859087763599026,0.009633623760245784
53,0.001482575801678841,-0.0022008544256592903,0.008159438548145322
54,0.0012465245286947958,-0.0018716332417167314,0.006908814294662988
55,0.0010483864672294627,-0.0015905203759461392,0.005848345996329699
56,0.0008819880499249206,-0.0013507654849916795,0.004949487400357663
57,0.0007421815513285984,-0.0011464947051249344,0.004187881900330885
58,0.0006246699469706563,-0.0009726153841822321,0.0035427744488331996
59,0.0005258626213926938,-0.0008247259878805421,0.0029964981295491555
60,0.0004427563366383836,-0.0006990325985965237,0.002534028334601048
61,0.0003728368985749047,-0.0005922727088562684,0.002142597349537659
62,0.00031399779933772844,-0.0005016465115881756,0.0018113623594348323
63,0.00026447280102054,-0.0004247555511314599,0.001531120313998595
64,0.00022277998520984097,-0.00035954838105209223,0.001294063629351613
65,0.00018767524787845858,-0.0003042727444056866,0.0010935712928867442
66,0.00015811358865755427,-0.0002574337242269711,0.0009240305315088721
67,0.00013321684352634797,-0.00021775728781182037,0.0007806847753279862
68,0.00011224675361476587,-0.0001841586536625763,0.000659504182339065
69,9.458246084387638e-05,-0.0001557149343807766,0.0005570754765637047
70,7.970168226905472e-05,-0.00013164154476365478,0.000470508289453259
71,6.716494631922307e-05,-0.00011127190651727001,0.000397355582353733
72,5.6602381357480044e-05,-9.404002560046492e-05,0.0003355460688536645
73,4.7702634728337976e-05,-7.946556273471123e-05,0.0002833268533711576
74,4.020357240881381e-05,-6.714106041937679e-05,0.00023921476044545998
75,3.388446852297362e-05,-5.672102988578131e-05,0.00020195505208583692
76,2.8559442707049414e-05,-4.791263826696374e-05,0.00017048642231264448
77,2.4071943552176126e-05,-4.046776962877332e-05,0.0001439113225709051
