timeStamp_s,u_raw_V,u_prbs_V,u_noisy_V,voltage_V,theta_rad,alpha_rad,theta_dot_rad_s,alpha_dot_rad_s
0.0,-870.0561865501642,0.5,-870.0561865501642,0.0,0.0,0.0,0.0,0.0
0.048596858978271484,25.361833858714434,0.5,25.361833858714434,0.0,0.0,0.0,0.0,0.0
0.09853315353393555,-358.38874631651925,-0.5,-358.38874631651925,0.0,0.0,0.0,0.0,0.0
0.1489582061767578,-193.92421195570483,-0.5,-193.92421195570483,0.0,0.0,0.0,0.0,0.0
0.1985340118408203,-264.40901239605387,-0.5,-264.40901239605387,0.0,0.0,0.0,0.0,0.0
0.2485363483428955,-234.20124077876142,0.5,-234.20124077876142,0.0,0.0,0.0,0.0,0.0
0.29854321479797363,-247.1474286147439,-0.5,-247.1474286147439,0.0,0.0,0.0,0.0,0.0
0.34851884841918945,-241.59906239932283,0.5,-241.59906239932283,0.0,0.0,0.0,0.0,0.0
0.39852046966552734,-243.9769336345033,0.5,-243.9769336345033,0.0,0.0,0.0,0.0,0.0
0.44851088523864746,-242.9578459622831,-0.5,-242.9578459622831,0.0,0.0,0.0,0.0,0.0
0.4985077381134033,-243.39459782180603,0.5,-243.39459782180603,0.0,0.0,0.0,0.0,0.0
0.5485110282897949,-243.20741845343906,-0.5,-243.20741845343906,0.0,0.0,0.0,0.0,0.0
0.5985946655273438,-243.2876381827392,-0.5,-243.2876381827392,0.0,0.0,0.0,0.0,0.0
0.6485264301300049,1490.4562728229287,0.5,1490.4562728229287,0.0,0.0,0.0,0.0,0.0
0.6985125541687012,-311.2398662134602,0.5,-311.2398662134602,0.0,0.0,0.0,0.0,0.0
0.748511552810669,454.94037548945226,0.5,454.94037548945226,0.0,0.0,0.0,0.0,0.0
0.798511266708374,65.37283442350119,-0.5,65.37283442350119,0.0,0.0,0.0,0.0,0.0
0.848513126373291,233.01955820414355,0.5,233.01955820414355,0.0,0.0,0.0,0.0,0.0
0.8985366821289062,124.94997678580994,-0.5,124.94997678580994,0.0,0.0,0.0,0.0,0.0
0.9485394954681396,153.39743393229767,-0.5,153.39743393229767,0.0,0.0,0.0,0.0,0.0
0.9985194206237793,105.97329554039327,0.5,105.97329554039327,0.0,0.0,0.0,0.0,0.0
1.048516035079956,86.66190792317624,0.5,86.66190792317624,0.0,0.0,0.0,0.0,0.0
1.0987112522125244,52.73788898090131,0.5,52.73788898090131,0.0,0.0,0.0,0.0,0.0
1.1485207080841064,31.420595919212733,-0.5,31.420595919212733,0.0,0.0,0.0,0.0,0.0
1.198509931564331,12.366208240074014,0.5,12.366208240074014,10.0,-0.07056311624273949,0.6350680461846558,-0.7567555579255832,-6.124249247917601
1.2485532760620117,-11.14594032772017,-0.5,-11.14594032772017,-10.0,-0.15033011721279282,0.30372819600135714,-1.6885160706761202,-6.84217461327242
1.3030452728271484,-4.9745262881083345,-0.5,-4.9745262881083345,-4.9745262881083345,0.0030679615757712823,0.19941750242513326,3.596459092043215,-0.04794498220393046
1.3485298156738281,-17.590121951339082,0.5,-17.590121951339082,-10.0,0.0521553467881118,0.09817477042468094,0.6912242167138765,-2.872101636211239
1.4017219543457031,-2.843827561166073,0.5,-2.843827561166073,-2.843827561166073,0.12885438618239387,0.07363107781851165,1.6276204069047262,0.529652341057123
1.4485328197479248,-10.99501416962195,0.5,-10.99501416962195,-10.0,0.14726215563702155,0.03681553890925595,0.22821483155786765,-1.2788664007175012
1.4989941120147705,22.411342515491526,-0.5,22.411342515491526,10.0,0.2638446955163303,0.16873788666742076,2.565365904922653,4.317295536255066
1.5485188961029053,-28.590717271277157,0.5,-28.590717271277157,-10.0,0.006135923151542565,-0.05522330836388331,-6.01190226420891,-8.249160802146571
1.5985164642333984,60.33046746863101,-0.5,60.33046746863101,10.0,0.260776733940559,0.23930100291016057,6.326673824668021,11.950334951606926
1.6485142707824707,-60.441484417055726,-0.5,-60.441484417055726,-10.0,-0.009203884727313847,-0.05215534678811171,-6.702533062026954,-13.448896399210748
1.6985118389129639,60.060114911498694,0.5,60.060114911498694,10.0,0.23316507975861744,0.1779417713947347,6.130702884357023,12.338016119171645
1.74851393699646,-67.45962105295592,0.5,-67.45962105295592,-10.0,0.0030679615757712823,-0.09817477042468045,-5.7944585023251385,-13.176765245913993
1.7985148429870605,64.7700750453234,0.5,64.7700750453234,10.0,0.25464081078901646,0.16873788666742076,6.234336482774908,13.273261022308889
1.8485143184661865,-55.05280162523853,-0.5,-55.05280162523853,-10.0,0.0859029241215959,-0.015339807878856004,-4.442434868473224,-10.947903139454572
1.898841142654419,48.33887516070304,0.5,48.33887516070304,10.0,0.260776733940559,0.1564660403643361,4.379688536918427,9.600697009571734
1.9488954544067383,-27.648263536338334,-0.5,-27.648263536338334,-10.0,0.1380582709097077,0.06442719309119684,-3.2137090158987425,-6.744265783334721
1.9985275268554688,24.046149577337353,-0.5,24.046149577337353,10.0,0.2638446955163303,0.1472621556370213,3.152332659691473,5.25711283702415
2.0485243797302246,-16.196375624056955,0.5,-16.196375624056955,-10.0,0.14112623248547898,0.05522330836388381,-3.077336140651304,-4.882729709385707
2.098529815673828,19.59151467869477,0.5,19.59151467869477,10.0,0.25464081078901646,0.13805827090970826,2.8644724223732,4.459311662474573
2.148519992828369,-19.50877531851028,0.5,-19.50877531851028,-10.0,0.12578642460662257,0.02454369260617042,-3.1817055176502196,-5.1544072354473265
2.1985232830047607,19.527647565571996,-0.5,19.527647565571996,10.0,0.24850488763747386,0.1165825398793088,3.0805997915356085,4.838713022995664
2.248528242111206,-34.79676871781864,0.5,-34.79676871781864,-10.0,0.07976700097005335,-0.06442719309119635,-4.092019680557746,-7.245440809012575
2.2985451221466064,48.694876636768655,-0.5,48.694876636768655,10.0,0.2975922728498144,0.184077694546277,5.295230450723328,10.205328564933199
2.348531484603882,-76.61127099251975,-0.5,-76.61127099251975,-10.0,0.01227184630308513,-0.17180584824319187,-6.9288128622299086,-14.54181346467048
2.398524761199951,95.93793458874677,0.5,95.93793458874677,10.0,0.33440781175906975,0.2546408107890168,7.928445105936314,18.416396028636168
2.448521852493286,33.96121820662735,0.5,33.96121820662735,10.0,0.23930100291016002,0.4663301595172354,-2.9944229861909184,-1.8444740486092548
2.501063823699951,78.67470010062644,0.5,78.67470010062644,10.0,0.04601942363656923,0.5246214294568896,-3.96243254094747,2.4559537333940873
2.5485334396362305,135.01298898691374,-0.5,135.01298898691374,0.0,0.0,0.0,0.0,0.0
2.598522663116455,151.41999157977713,0.5,151.41999157977713,0.0,0.0,0.0,0.0,0.0
2.6485226154327393,207.1270863968664,-0.5,207.1270863968664,0.0,0.0,0.0,0.0,0.0
2.6985208988189697,216.2654940031942,-0.5,216.2654940031942,0.0,0.0,0.0,0.0,0.0
2.7485268115997314,209.56717812513142,0.5,209.56717812513142,0.0,0.0,0.0,0.0,0.0
2.7985270023345947,188.68482923961804,0.5,188.68482923961804,0.0,0.0,0.0,0.0,0.0
2.8485231399536133,191.73250835054378,0.5,191.73250835054378,0.0,0.0,0.0,0.0,0.0
2.898538112640381,238.74931749899432,-0.5,238.74931749899432,0.0,0.0,0.0,0.0,0.0
2.9485278129577637,304.36747663149237,0.5,304.36747663149237,0.0,0.0,0.0,0.0,0.0
2.998526096343994,-1400.6008142200533,-0.5,-1400.6008142200533,0.0,0.0,0.0,0.0,0.0
3.048532724380493,362.5353694931595,-0.5,362.5353694931595,0.0,0.0,0.0,0.0,0.0
3.098615884780884,-448.4099876679749,0.5,-448.4099876679749,0.0,0.0,0.0,0.0,0.0
3.1485342979431152,-176.54653610677238,0.5,-176.54653610677238,0.0,0.0,0.0,0.0,0.0
3.198533058166504,1376.1032802269635,0.5,1376.1032802269635,0.0,0.0,0.0,0.0,0.0
3.2485435009002686,-346.8233987562654,-0.5,-346.8233987562654,0.0,0.0,0.0,0.0,0.0
3.2985775470733643,431.73543009397054,0.5,431.73543009397054,0.0,0.0,0.0,0.0,0.0
3.3493711948394775,162.82196641051408,-0.5,162.82196641051408,0.0,0.0,0.0,0.0,0.0
3.3985769748687744,-1396.7851686405613,-0.5,-1396.7851686405613,0.0,0.0,0.0,0.0,0.0
3.4485678672790527,339.98130202424403,0.5,339.98130202424403,0.0,0.0,0.0,0.0,0.0
3.4986460208892822,-432.9046488075021,0.5,-432.9046488075021,0.0,0.0,0.0,0.0,0.0
3.5485587120056152,-155.89042779709138,0.5,-155.89042779709138,0.0,0.0,0.0,0.0,0.0
3.59856915473938,-333.4419493910241,-0.5,-333.4419493910241,0.0,0.0,0.0,0.0,0.0
3.6485579013824463,1452.0831205362879,0.5,1452.0831205362879,0.0,0.0,0.0,0.0,0.0
3.69856595993042,-340.61928490839506,-0.5,-340.61928490839506,0.0,0.0,0.0,0.0,0.0
