iter,y0,y1,u0
0,0.0,0.5,0.0
1,0.015057089299530273,0.5263888011757576,-50.194522425
2,-0.43982520830045546,0.11064823370976767,9.305338127190737
3,-1.2965558262429802,-0.6987081490676695,35.29957692319667
4,-1.7494177856617805,-1.139378023917493,27.696652545148467
5,-1.641252589074724,-1.075623766049539,12.064826723234944
6,-1.2005381032691949,-0.7312039266195124,1.101124863181866
7,-0.6723827089436579,-0.33352178323394077,-4.025452287884377
8,-0.19365070100015588,-0.00014949392105526732,-5.707629091339896
9,0.1877035999219479,0.2366051074152206,-5.899476002084441
10,0.46723175452944254,0.3831722481890138,-5.507433599793707
11,0.6557830985872637,0.45702876775717427,-4.855096906208473
12,0.7682618940007669,0.4763442679431572,-4.077916085952044
13,0.8201333422660231,0.45734683112555663,-3.2697058307699534
14,0.8261096673788493,0.41376271536312953,-2.5027784601746976
15,0.7993167622976253,0.3566182420946128,-1.8225370859059389
16,0.7507822081748803,0.29423686554045725,-1.2489648102747566
17,0.6892835713093145,0.23246988814317654,-0.7842348977009337
18,0.6214798604877427,0.17509487905549345,-0.42050526093030527
19,0.5521961335103314,0.12427105635669619,-0.14532629884338633
20,0.48475670959201994,0.08096877001952194,0.05522458554844789
21,0.42130747593884604,0.04533371340796433,0.19484800819764558
22,0.36310096254519714,0.01697642598062721,0.28612696100498525
23,0.3107357394179423,-0.0048080325247307045,0.34008946609926216
24,0.26435005477550366,-0.020880255905252106,0.36605774436555993
25,0.22377347162367547,-0.032145465270694625,0.3716799731631002
26,0.1886420082632121,-0.0394807354582257,0.3630696121213044
27,0.15848288299955304,-0.04369108874071063,0.3449975908307724
28,0.13277482673010246,-0.04548652815943256,0.3211005954556253
29,0.11098935387572903,-0.045473610565723736,0.2940831695095516
30,0.09261760438503994,-0.04415659700467507,0.26590160479209723
31,0.07718654796588678,-0.041944471831429894,0.23792422430591398
32,0.06426756954426342,-0.03916115681871242,0.21106669868645778
33,0.05347977646546594,-0.03605706599060678,0.18590338713357624
34,0.04448979761251922,-0.03282077417273865,0.162756959252228
35,0.037009380747740864,-0.02959003767342842,0.14176912343476022
36,0.03079172726630095,-0.026461740063133652,0.12295541692075118
37,0.02562721999933275,-0.023500568106044367,0.10624687882733097
38,0.021338985679955215,-0.02074637707591482,0.09152115155110974
39,0.0177785757936382,-0.018220301309004917,0.07862521849360482
40,0.014821935814370954,-0.015929721201823583,0.06739163756805422
41,0.012365753082032166,-0.01387222460326857,0.05764979985957974
42,0.010324219405127025,-0.012038708237486937,0.04923344649216388
43,0.008626209148372511,-0.010415760452693136,0.04198542052007992
44,0.007212851822018848,-0.008987455246449389,0.03576041527419899
45,0.006035465996527562,-0.00773667265094047,0.03042630362087223
46,0.005053815694613821,-0.006646044495465386,0.025864489949043334
47,0.004234649034875896,-0.005698608772148193,0.021969613654679532
48,0.003550480212197502,-0.0048782411839233914,0.018648844667688458
49,0.0029785787699877463,-0.004169919401264981,0.015820943706750107
50,0.0025001337740761537,-0.003559864266025206,0.013415208486993874
51,0.0020995644249543035,-0.0030355926488359005,0.011370388637449547
52,0.0017639525193634223,-0.0025859087763598744,0.009633623760245347
53,0.0014825758016787586,-0.002200854425659271,0.00815943854814527
54,0.0012465245286947056,-0.001871633241716724,0.006908814294663196
55,0.0010483864672293669,-0.001590520375946141,0.005848345996329912
56,0.0008819880499248234,-0.0013507654849916864,0.004949487400358041
57,0.0007421815513285052,-0.0011464947051249414,0.004187881900330842
58,0.00062466994697057,-0.0009726153841822364,0.0035427744488332955
59,0.0005258626213926148,-0.000824725987880544,0.0029964981295490176
60,0.0004427563366383113,-0.0006990325985965237,0.0025340283346010142
61,0.00037283689857483735,-0.0005922727088562683,0.002142597349537742
62,0.0003139977993376666,-0.000501646511588175,0.0018113623594347913
63,0.0002644728010204842,-0.0004247555511314582,0.0015311203139986088
64,0.00022277998520979088,-0.00035954838105208963,0.0012940636293515655
65,0.00018767524787841408,-0.00030427274440568305,0.0010935712928866609
66,0.0001581135886575142,-0.0002574337242269676,0.0009240305315088952
67,0.00013321684352631194,-0.00021775728781181717,0.0007806847753280364
68,0.00011224675361473485,-0.0001841586536625723,0.0006595041823390223
69,9.458246084385067e-05,-0.00015571493438077132,0.0005570754765636624
70,7.97016822690338e-05,-0.0001316415447636485,0.00047050828945320415
71,6.716494631920636e-05,-0.00011127190651726303,0.00039735558235366383
72,5.66023813574667e-05,-9.404002560045775e-05,0.00033554606885361285
