iter,y0,y1,u0
0,0.0,0.5,-1.6262656e-08
1,0.015057089137003024,0.5263888010145102,58.7945923499292
2,0.6494003608435812,1.1912960678046538,-18.370368484202753
3,1.7593130768313054,2.382590235881457,50.60292216322997
4,3.334630102538898,4.14474901888926,109.26778278204719
5,6.756936783285283,7.929186418605668,117.37388213791193
6,12.92103129657096,14.796985454715918,296.0452853239614
7,24.106592215091112,27.324425100820008,539.8212791725
8,45.288822779741395,51.02129920387115,-200.714714255418
9,72.9280756051264,83.46117884436535,-306.2560150270851
10,100.52164613259436,119.67835392193722,-322.8140897520794
11,129.03059884322218,162.2851087486245,368.18459050990066
12,167.7610935511686,222.46575458838262,516.2839007450375
13,228.72083574083186,314.88977637476773,466.1275887692425
14,318.45027794151247,450.2792457943244,-273.2648468770701
15,437.20680033164354,635.0905089607309,226.76169116288577
16,593.7231738915619,886.4521345823183,-236.65361153133725
17,803.4956609030697,1231.250999881067,438.42920898731484
18,1089.3948397593315,1707.9697594346846,491.0172962596241
19,1487.3876659825717,2374.126389814395,451.8947849673915
20,2037.7054856610991,3300.1461484263446,-0.44615990516275206
21,2791.1757217168747,4578.868953568666,-485.3889197831116
22,3815.4020266372067,6335.9330431941435,349.5745036028517
23,5219.647917678549,8760.217023924404,-63.746942342065026
24,7154.05321000312,12111.713328492995,352.0826092751212
25,9820.381117965955,16744.098639183085,-88.43163971414414
26,13497.22372457824,23145.939654946727,114.2655367745892
27,18567.553463726974,31990.404521246674,292.34662257371735
28,25567.554977067255,44214.54200099067,326.5933516964079
29,35235.16300921951,61110.35503763897,5.765711726019299
30,48584.53048740808,84457.8576072638,524.6889061021094
31,67023.00467491968,116722.65635428613,489.7145636189834
32,92497.55183853848,161314.1497581348,160.52502651754057
33,127688.6486072167,222934.04693924487,399.63264060190664
34,176304.51074752407,308083.6230204539,-161.31940593571753
35,243467.37101858514,425744.720856326,543.4663332952778
36,336261.0990909135,588334.4370919504,175.57198827107266
37,464475.9030217277,813012.6762953642,-394.56474923700944
38,641626.5742480512,1123478.3204735687,-291.7269851207149
39,886396.4535428234,1552487.2596127961,-397.93288458505396
40,1224609.052602151,2145308.743856138,-44.57369579614644
41,1691950.8350021192,2964500.1058383863,-80.88713713863143
