Time,u_noisy,theta,alpha
0.0,0.0,-0.0,-3.141592653589793
0.020566463470458984,0.0,-0.0,-3.141592653589793
0.04058265686035156,0.0,-0.0,-3.141592653589793
0.06059598922729492,0.0,-0.0,-3.141592653589793
0.08076882362365723,0.0,-0.0,-3.141592653589793
0.10115647315979004,0.0,-0.0,-3.141592653589793
0.1212761402130127,0.0,-0.0,-3.141592653589793
0.14162254333496094,0.0,-0.0,-3.141592653589793
0.16165804862976074,0.0,-0.0,-3.141592653589793
0.18215203285217285,0.0,-0.0,-3.141592653589793
0.20266032218933105,0.0,-0.0,-3.141592653589793
0.22315764427185059,0.0,-0.0,-3.141592653589793
0.24366140365600586,0.0,-0.0,-3.141592653589793
0.2641594409942627,0.0,-0.0,-3.141592653589793
0.2842905521392822,0.0,-0.0,-3.141592653589793
0.3046586513519287,0.0,-0.0,-3.141592653589793
0.3251614570617676,0.0,-0.0,-3.141592653589793
0.3452613353729248,0.0,-0.0,-3.141592653589793
0.3657033443450928,0.0,-0.0,-3.141592653589793
0.38573646545410156,0.0,-0.0,-3.141592653589793
0.40576767921447754,0.0,-0.0,-3.141592653589793
0.4261612892150879,0.0,-0.0,-3.141592653589793
0.4463663101196289,0.0,-0.0,-3.141592653589793
0.4666624069213867,0.0,-0.0,-3.141592653589793
0.48716068267822266,0.0,-0.0,-3.141592653589793
0.5072813034057617,0.0,-0.0,-3.141592653589793
0.5276620388031006,0.0,-0.0,-3.141592653589793
0.5481648445129395,0.0,-0.0,-3.141592653589793
0.5681874752044678,0.0,-0.0,-3.141592653589793
0.5886640548706055,0.0,-0.0,-3.141592653589793
0.6087791919708252,0.0,-0.0,-3.141592653589793
0.6292903423309326,0.0,-0.0,-3.141592653589793
0.6495304107666016,0.0,-0.0,-3.141592653589793
0.6695542335510254,0.0,-0.0,-3.141592653589793
0.6897640228271484,0.0,-0.0,-3.141592653589793
0.710167407989502,0.0,-0.0,-3.141592653589793
0.7306632995605469,0.0,-0.0,-3.141592653589793
0.7511651515960693,0.0,-0.0,-3.141592653589793
0.7716679573059082,0.0,-0.0,-3.141592653589793
0.7921688556671143,0.0,-0.0,-3.141592653589793
0.8121886253356934,0.0,-0.0,-3.141592653589793
0.8326704502105713,0.0,-0.0,-3.141592653589793
0.853191614151001,0.0,-0.0,-3.141592653589793
0.8732190132141113,0.0,-0.0,-3.141592653589793
0.8936915397644043,0.0,-0.0,-3.141592653589793
0.9141762256622314,0.0,-0.0,-3.141592653589793
0.9346742630004883,0.0,-0.0,-3.141592653589793
0.9551734924316406,0.0,-0.0,-3.141592653589793
0.975212812423706,0.0,-0.0,-3.141592653589793
0.9957079887390137,0.0,-0.0,-3.141592653589793
1.0161511898040771,0.0,-0.0,-3.141592653589793
1.0361778736114502,0.0,-0.0,-3.141592653589793
1.0566761493682861,0.0,-0.0,-3.141592653589793
1.0771710872650146,0.0,-0.0,-3.141592653589793
1.097217321395874,0.0,-0.0,-3.141592653589793
1.1177217960357666,0.0,-0.0,-3.141592653589793
1.138199806213379,0.0,0.0030679615757712823,3.13545673043825
1.1582138538360596,0.0,0.0030679615757712823,3.1231848841351653
1.1782286167144775,0.0,0.006135923151542565,3.1047771146805374
1.1982417106628418,0.0,0.015339807878856412,3.0863693452259096
1.2182562351226807,0.0,0.021475731030398976,3.064893614195511
1.2382721900939941,0.0,0.030679615757712823,3.0434178831651124
1.2583184242248535,0.0,0.03681553890925539,3.021942152134713
1.2783324718475342,0.0,0.03681553890925539,3.0004664211043135
1.2983472347259521,0.0,0.02761165418194154,2.9851266132254572
1.3183634281158447,0.0,0.01227184630308513,2.9667188437708294
1.3383774757385254,0.0,0.0030679615757712823,2.945243112740431
1.3583927154541016,0.0,-0.009203884727313847,2.9145634969827183
1.3784065246582031,0.0,-0.021475731030398976,2.8808159196492342
1.3984379768371582,0.0,-0.03681553890925539,2.837864457588436
1.4186794757843018,0.0,-0.04601942363656923,2.7826411492245526
1.4386942386627197,0.0,-0.05522330836388308,2.72741784086067
1.4592111110687256,0.0,-0.06442719309119693,2.666058609345244
1.4792234897613525,0.0,-0.07363107781851078,2.589359569950963
1.4992380142211914,0.0,-0.07976700097005335,2.5034566458293668
1.5192527770996094,0.0,-0.08283496254582462,2.4022139138289145
1.5392651557922363,0.0,-0.0859029241215959,2.2979032202526906
1.5592825412750244,0.0,-0.09510680884890975,2.1935925266764666
1.5792977809906006,0.0,-0.1043106935762236,2.086213871524472
1.599679946899414,0.0,-0.11351457830353745,1.9757672547967058
1.6201822757720947,0.0,-0.1227184630308513,1.8653206380689396
1.6404430866241455,0.0,-0.12885438618239387,1.7548740213411733
1.6606857776641846,0.0,-0.1380582709097077,1.6474953661891787
1.6811840534210205,0.0,-0.14726215563702155,1.540116711037184
1.7016866207122803,0.0,-0.1564660403643354,1.4388739790367318
1.722184181213379,0.0,-0.16873788666742054,1.3406992086120502
1.7426979541778564,0.0,-0.17794177139473438,1.2425244381873695
1.763200044631958,0.0,-0.18407769454627693,1.150485590914231
1.7836863994598389,0.0,-0.1932815792735908,1.0523108204895504
1.8041801452636719,0.0,-0.19634954084936207,0.9541360500648688
1.8246848583221436,0.0,-0.19941750242513334,0.8498253564886458
1.8451850414276123,0.0,-0.19941750242513334,0.7455146629124219
1.8656821250915527,0.0,-0.19941750242513334,0.6350680461846556
1.8857016563415527,0.0,-0.20248546400090464,0.536893275759974
1.9058294296264648,0.0,-0.1932815792735908,0.4540583132141496
1.9261863231658936,0.0,-0.18407769454627693,0.38042723539563905
1.9466838836669922,1.0,-0.18407769454627693,0.2975922728498146
1.9672024250030518,10.0,-0.1902136176978195,0.22396119503130407
1.9876933097839355,-10.0,-0.2699806186678728,0.15033011721279266
2.0081899166107178,-10.0,-0.16260196351587797,0.05829126993965428
2.0286872386932373,3.632217381620566,-0.06442719309119693,0.1349903093339364
2.049189805984497,7.940456910072742,-0.009203884727313847,0.22089323345553247
2.0696890354156494,2.5721828440683145,-0.10124273200045232,0.11658253987930856
2.0897092819213867,-9.36669402405495,-0.24236896448593132,-0.07669903939428213
2.1102113723754883,-10.0,-0.2239611950313036,-0.13805827090970801
2.1306893825531006,-0.243995376326259,-0.07976700097005335,0.04295146206079803
2.151188850402832,10.0,0.09510680884890975,0.23930100291016032
2.1716904640197754,6.573964671311261,-0.018407769454627694,0.199417502425133
2.192190408706665,-7.088816866256359,-0.1932815792735908,0.0
2.212688446044922,-9.364977679996286,-0.20248546400090464,-0.14419419406125034
2.2327232360839844,-4.642240319868532,-0.1043106935762236,-0.015339807878856249
2.25319242477417,10.0,0.04601942363656923,0.18100973297050515
2.2732322216033936,10.0,0.0030679615757712823,0.1932815792735907
2.2937123775482178,-4.645430704706658,-0.19634954084936207,-0.012271846303084644
2.3142104148864746,-10.0,-0.3190680038802134,-0.22396119503130407
2.33469295501709,-9.384494693050133,-0.18100973297050565,-0.15339807878856426
2.355193614959717,7.0135657042564095,0.015339807878856412,0.1012427320004523
2.375697135925293,10.0,0.06442719309119693,0.20862138715244782
2.3961985111236572,-1.3151255418231178,-0.11044661672776616,0.04908738521234035
2.4162180423736572,-10.0,-0.2454369260617026,-0.13805827090970801
2.4366953372955322,-5.27941312849204,-0.18407769454627693,-0.11351457830353695
2.4571995735168457,8.606645491761313,-0.04601942363656923,0.00613592315154321
2.4777112007141113,5.683534588517844,-0.07056311624273949,-0.009203884727313927
2.498216152191162,-5.721401696970919,-0.28532042654672923,-0.1288543861823932
2.5186984539031982,-3.3236313764963024,-0.2975922728498144,-0.15953400194010658
2.539193868637085,1.335167833649887,-0.15339807878856412,-0.0674951546669682
2.559783935546875,4.318345086534977,-0.13192234775816514,-0.018407769454627854
2.580197334289551,2.0799271863506643,-0.15033011721279282,-0.03988350048502731
2.6002955436706543,-3.000523123422661,-0.1564660403643354,-0.030679615757712497
2.620701313018799,2.7769712979698955,-0.14726215563702155,0.0
2.640988349914551,4.54897800961327,-0.1349903093339364,0.027611654181940892
2.661008358001709,1.0490576821941902,-0.1349903093339364,0.030679615757712497
2.6810226440429688,0.3961008665092086,-0.1349903093339364,0.027611654181940892
2.7010369300842285,1.9773656510294975,-0.12885438618239387,0.03681553890925571
2.7210519313812256,2.514493287612418,-0.12885438618239387,0.04295146206079803
2.7410659790039062,1.5464209222835166,-0.12885438618239387,0.04295146206079803
2.761079788208008,1.2681696144976455,-0.13192234775816514,0.03988350048502731
2.7812023162841797,1.6935140891220224,-0.13192234775816514,0.03681553890925571
2.8017048835754395,-0.5345119825573728,-0.13192234775816514,0.0337475773334841
2.822206497192383,-0.7227540265440876,-0.13192234775816514,0.0337475773334841
2.8427011966705322,-0.2838608816438323,-0.12885438618239387,0.03988350048502731
2.8627378940582275,0.11977053057982556,-0.12578642460662257,0.03988350048502731
2.883201837539673,-0.7706467476670844,-0.11965050145508001,0.03988350048502731
2.903702735900879,1.337159315745104,-0.10124273200045232,0.046019423636568746
2.924201726913452,1.9449732254679646,-0.08283496254582462,0.061359231515424995
2.9447057247161865,2.6285624502244054,-0.07363107781851078,0.07976700097005285
2.9650347232818604,2.9348012224948854,-0.07669903939428206,0.07976700097005285
2.985201597213745,1.4289184338970224,-0.09510680884890975,0.052155346788111956
3.005730628967285,-2.2685476347548077,-0.11658253987930872,0.012271846303084644
